"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Qatar","Total","2011","UN_United Nations Population Division","Thousand","1870",""
"Republic of Korea","Total","2011","UN_United Nations Population Division","Thousand","48391",""
"Republic of Moldova","Total","2011","UN_United Nations Population Division","Thousand","3545",""
"Romania","Total","2011","UN_United Nations Population Division","Thousand","21436",""
"Russian Federation","Total","2011","UN_United Nations Population Division","Thousand","142836",""
"Rwanda","Total","2011","UN_United Nations Population Division","Thousand","10943",""
"Saint Kitts and Nevis","Total","2011","UN_United Nations Population Division","Thousand","53",""
"Saint Lucia","Total","2011","UN_United Nations Population Division","Thousand","176",""
"Saint Vincent and the Grenadines","Total","2011","UN_United Nations Population Division","Thousand","109",""
"Samoa","Total","2011","UN_United Nations Population Division","Thousand","184",""
"San Marino","Total","2011","UN_United Nations Population Division","Thousand","32",""
"Sao Tome and Principe","Total","2011","UN_United Nations Population Division","Thousand","169",""
"Saudi Arabia","Total","2011","UN_United Nations Population Division","Thousand","28083",""
"Senegal","Total","2011","UN_United Nations Population Division","Thousand","12768",""
"Serbia","Total","2011","UN_United Nations Population Division","Thousand","9854",""
"Seychelles","Total","2011","UN_United Nations Population Division","Thousand","87",""
"Sierra Leone","Total","2011","UN_United Nations Population Division","Thousand","5997",""
"Singapore","Total","2011","UN_United Nations Population Division","Thousand","5188",""
"Slovakia","Total","2011","UN_United Nations Population Division","Thousand","5472",""
"Slovenia","Total","2011","UN_United Nations Population Division","Thousand","2035",""
"Solomon Islands","Total","2011","UN_United Nations Population Division","Thousand","552",""
"Somalia","Total","2011","UN_United Nations Population Division","Thousand","9557",""
"South Africa","Total","2011","UN_United Nations Population Division","Thousand","50460",""
"South Asia","Total","2011","UN_United Nations Population Division","Thousand","1653679","1"
"South Sudan","Total","2011","UN_United Nations Population Division","Thousand","10314","2"
"Spain","Total","2011","UN_United Nations Population Division","Thousand","46455",""
"Sri Lanka","Total","2011","UN_United Nations Population Division","Thousand","21045",""
"State of Palestine","Total","2011","UN_United Nations Population Division","Thousand","4152",""
"Sub-Saharan Africa","Total","2011","UN_United Nations Population Division","Thousand","876497","1"
"Sudan","Total","2011","UN_United Nations Population Division","Thousand","34318","2"
"Suriname","Total","2011","UN_United Nations Population Division","Thousand","529",""
"Swaziland","Total","2011","UN_United Nations Population Division","Thousand","1203",""
"Sweden","Total","2011","UN_United Nations Population Division","Thousand","9441",""
"Switzerland","Total","2011","UN_United Nations Population Division","Thousand","7702",""
"Syrian Arab Republic","Total","2011","UN_United Nations Population Division","Thousand","20766",""
"Tajikistan","Total","2011","UN_United Nations Population Division","Thousand","6977",""
"Thailand","Total","2011","UN_United Nations Population Division","Thousand","69519",""
"The former Yugoslav Republic of Macedonia","Total","2011","UN_United Nations Population Division","Thousand","2064",""
"Timor-Leste","Total","2011","UN_United Nations Population Division","Thousand","1154",""
"Togo","Total","2011","UN_United Nations Population Division","Thousand","6155",""
"Tonga","Total","2011","UN_United Nations Population Division","Thousand","105",""
"Trinidad and Tobago","Total","2011","UN_United Nations Population Division","Thousand","1346",""
"Tunisia","Total","2011","UN_United Nations Population Division","Thousand","10594",""
"Turkey","Total","2011","UN_United Nations Population Division","Thousand","73640",""
"Turkmenistan","Total","2011","UN_United Nations Population Division","Thousand","5105",""
"Tuvalu","Total","2011","UN_United Nations Population Division","Thousand","10",""
"Uganda","Total","2011","UN_United Nations Population Division","Thousand","34509",""
"Ukraine","Total","2011","UN_United Nations Population Division","Thousand","45190",""
"United Arab Emirates","Total","2011","UN_United Nations Population Division","Thousand","7891",""
"United Kingdom","Total","2011","UN_United Nations Population Division","Thousand","62417",""
"United Republic of Tanzania","Total","2011","UN_United Nations Population Division","Thousand","46218",""
"United States","Total","2011","UN_United Nations Population Division","Thousand","313085",""
"Uruguay","Total","2011","UN_United Nations Population Division","Thousand","3380",""
"Uzbekistan","Total","2011","UN_United Nations Population Division","Thousand","27760",""
"Vanuatu","Total","2011","UN_United Nations Population Division","Thousand","246",""
"Venezuela (Bolivarian Republic of)","Total","2011","UN_United Nations Population Division","Thousand","29437",""
"Viet Nam","Total","2011","UN_United Nations Population Division","Thousand","88792",""
"Western and Central Africa","Total","2011","UN_United Nations Population Division","Thousand","422564","1"
"World","Total","2011","UN_United Nations Population Division","Thousand","6934761","1"
"Yemen","Total","2011","UN_United Nations Population Division","Thousand","24800",""
"Zambia","Total","2011","UN_United Nations Population Division","Thousand","13475",""
"Zimbabwe","Total","2011","UN_United Nations Population Division","Thousand","12754",""

"fnSeqID","Footnote"
"1","For a complete list of countries and territories in the regions, subregions and country categories, see page XX."
"2","Due to the cession in July 2011 of the Republic of South Sudan by the Republic of the Sudan, and its subsequent admission to the UN on 14 July 2011, disaggregated data for Sudan and South Sudan as separate States are not yet available for all indicators. In these cases, aggregated data are presented for Sudan pre-cession (see Memorandum item)."
