,,,,,,,,,,,,
,YEAR,MONTH,DAY,FOCAL_DEPTH,PRIMARY_MAGNITUDE,COUNTRY,LOCATION_NAME,LATITUDE,LONGITUDE,MAXIMUM_WATER_HEIGHT,DEATHS,TOTAL_DEATHS
,1681,6,12,,,SOUTH KOREA,SEA OF JAPAN,37.5,129.5,,,
,1681,6,26,,,SOUTH KOREA,SEA OF JAPAN,37.5,129.5,,,
,1681,12,11,,,INDONESIA,SUMATRA,,,,,
,1682,8,,,,ITALY,BAY OF NAPLES,,,,,
,1682,10,19,,,PERU,PERU,,,,,
,1682,12,,,,CHINA,SOUTH CHINA SEA,,,,,
,1686,,,,,CHILE,CHILE,,,,,
,1687,7,12,,7.5,CHILE,CENTRAL CHILE,-32.8,-70.7,,,
,1687,7,26,,,JAPAN,S. JAPAN,,,,,
,1687,10,20,30,8.5,PERU,S. PERU,-13.5,-76.5,,5000,5000
,1688,3,1,,,JAMAICA,PORT ROYAL,17.6,-76.5,,,
,1688,7,10,,7,TURKEY,IZMIR,38.4,26.9,,,16000
,1689,,,,,JAPAN,SANRIKU,,,2,,
,1690,2,3,,7.7,ITALY,BAY OF NAPLES,,,,,
,1690,4,16,,8,ANTIGUA AND BARBUDA,ANTIGUA; SAINT KITTS AND NEVIS,17.5,-61.5,,,
,1690,,,,,INDONESIA,BANDA SEA,,,,,
,1690,,,,,PERU,PERU,,,,,
,1691,7,26,,,PORTUGAL,AZORES,,,,,
,1692,6,7,,7.7,JAMAICA,PORT ROYAL,17.8,-76.7,1.8,2000,3000
,1693,1,9,,6,ITALY,EASTERN SICILY,37.333,15.167,,,60000
,1693,1,11,,7.4,ITALY,ISLAND OF SICILY,37.133,15.017,,,60000
,1693,2,13,,,ICELAND,MOUNT HEKLA,64,-19.683,,,
