,Name,Country,Type,lat,lng,Elevation,geometry
264,"Negro, Cerro ",            Nicaragua          ,            Cinder Cone          ,12.510000228881836,-86.69999694824219,728.0,POINT (-86.69999694824219 12.51000022888184)
265,Nemo Peak ,            Russia          ,            Caldera          ,49.56999969482422,154.80999755859375,1018.0,POINT (154.8099975585938 49.56999969482422)
266,Nevis Peak ,            St. Kitts and Nevis          ,            Stratovolcano          ,17.149999618530273,-62.58000183105469,985.0,POINT (-62.58000183105469 17.14999961853027)
267,Newberry ,            United States          ,            Shield          ,43.720001220703125,-121.2300033569336,2434.0,POINT (-121.2300033569336 43.72000122070312)
268,Newer Volcanics Province ,            Australia          ,            Shield          ,-37.77000045776367,142.5,1011.0,POINT (142.5 -37.77000045776367)
269,Ngauruhoe ,            New Zealand          ,            Stratovolcano          ,-39.130001068115234,175.63999938964844,1978.0,POINT (175.6399993896484 -39.13000106811523)
270,Nikko-Shirane ,            Japan          ,            Shield          ,36.79999923706055,139.3800048828125,2578.0,POINT (139.3800048828125 36.79999923706055)
271,Nipesotsu-Maruyama ,            Japan          ,            Stratovolcano          ,43.45000076293945,143.0399932861328,2013.0,POINT (143.0399932861328 43.45000076293945)
272,Nisyros ,            Greece          ,            Stratovolcano          ,36.59000015258789,27.15999984741211,698.0,POINT (27.15999984741211 36.59000015258789)
273,Nyambeni Hills ,            Kenya          ,            Shield          ,0.23000000417232513,37.869998931884766,750.0,POINT (37.86999893188477 0.2300000041723251)
274,Nyamuragira ,            Democratic Republic of Congo          ,            Shield          ,-1.409999966621399,29.200000762939453,3058.0,POINT (29.20000076293945 -1.409999966621399)
275,Nyiragongo ,            Democratic Republic of Congo          ,            Stratovolcano          ,-1.5199999809265137,29.25,3470.0,POINT (29.25 -1.519999980926514)
276,Oahu ,            United States          ,            Shield          ,,,1220.0,POINT (nan nan)
277,Ojos del Salado ,            Chile/Argentina          ,            Stratovolcano          ,-27.1200008392334,-68.55000305175781,6887.0,POINT (-68.55000305175781 -27.1200008392334)
278,Okataina ,            New Zealand          ,            Dome          ,-38.119998931884766,176.5,1111.0,POINT (176.5 -38.11999893188477)
279,Okmok ,            United States          ,            Shield          ,53.43000030517578,-168.1300048828125,1073.0,POINT (-168.1300048828125 53.43000030517578)
280,Oku Volcanic Field ,            Cameroon          ,            Stratovolcano          ,6.25,10.5,3011.0,POINT (10.5 6.25)
281,Ol Doinyo Lengai ,            Tanzania          ,            Stratovolcano          ,-2.759999990463257,39.90999984741211,2962.0,POINT (39.90999984741211 -2.759999990463257)
