,Country,lat,lng,Depth_km,Mag,Secondary_Effects,PDE_Shaking_Deaths,PDE_Deaths,Utsu_Deaths,EM-DAT_Deaths,Other_Deaths,Year,Month,Day,Max_Deaths,geometry,Stratovolcano,Caldera,Shield,Complex Volcano,Submarine,Volcanic Field,Cinder Cone,Dome,Fissure vents,Somma Volcano,Maar,Pyroclastic Cone,Tuff Ring,Plug,None,vol,closest_vol
976,Russian Federation,43.862998962402344,147.35299682617188,14.0,8.300000190734863,"T,L",,11.0,11.0,0.0,,1994,10,04,11.0,POINT (147.3529968261719 43.86299896240234),0.9706603289485528,2.798370800802249,10.651505323148076,11.556021169620427,6.704973475042793,21.781425768783738,10.90727910198734,12.24946406361465,132.72436644692806,5.8812149157883375,114.73545454983233,12.183890138842186,259.3130471391036,252.05407126036485,0.9706603289485528,0.9706603289485528,Stratovolcano
977,Indonesia,-1.2059999704360962,127.9800033569336,17.0,6.800000190734863,T,1.0,1.0,1.0,0.0,,1994,10,08,1.0,POINT (127.9800033569336 -1.205999970436096),1.6325066652140052,2.5083935165244204,23.910891334624747,2.908081195494731,27.5388130086207,49.96063647721217,27.65645108228451,34.65813809290319,116.13247265972888,54.078044592621616,90.1066663142999,36.67359309410725,244.10602957208567,237.14588766309944,1.6325066652140052,1.6325066652140052,Stratovolcano
978,Philippines,13.543000221252441,121.05899810791016,32.0,7.099999904632568,"T,Lq",78.0,78.0,78.0,0.0,,1994,11,14,78.0,POINT (121.0589981079102 13.54300022125244),1.1408097103735455,0.46217943643868814,23.458659153707906,4.001792589003509,24.937963032169716,35.539206058492816,39.38851680072597,22.295888419326552,106.46512997477643,45.82895854638372,82.89120381414052,27.207868293906124,234.9623325859169,227.88519256248858,0.46217943643868814,0.46217943643868814,Caldera
979,Japan,40.52299880981445,143.42999267578125,27.0,7.699999809265137,T,3.0,3.0,3.0,0.0,,1994,12,28,3.0,POINT (143.4299926757812 40.52299880981445),2.7287101188851595,2.5105539565598254,5.501193228920582,6.403830633997438,11.838248540594186,19.152717819492175,16.05591952753585,14.016456379630254,128.46184704376742,11.0142153515295,109.98318426348492,7.096962883596556,255.40975163981645,248.16348175563772,2.5105539565598254,2.5105539565598254,Caldera
980,Japan,34.58000183105469,135.02499389648438,22.0,6.900000095367432,"L,F,Lq",5502.0,5530.0,6432.0,0.0,,1995,01,16,6432.0,POINT (135.0249938964844 34.58000183105469),3.0444762312206133,4.268158270783749,3.4259220182247363,3.949361735483307,17.33798639980806,16.710429381649572,26.338833477574724,3.8228316352458664,119.62609668986835,21.306157855300363,100.2491682107604,4.0875572524603605,247.15331504618945,239.93430677631596,3.0444762312206133,3.0444762312206133,Stratovolcano
981,Colombia,5.044000148773193,-72.93599700927734,17.0,6.5,L,7.0,7.0,7.0,0.0,,1995,01,19,7.0,POINT (-72.93599700927734 5.044000148773193),2.388971513358703,14.932596543812023,16.63855397681703,13.668991034862644,13.425688020790952,43.75379600639942,15.658507320814666,86.14605023297251,63.36190122764857,94.40730708090382,54.80840069119625,83.54441352588154,54.928673035558305,50.730944162685205,2.388971513358703,2.388971513358703,Stratovolcano
982,United States,41.487998962402344,-109.78500366210938,1.0,5.300000190734863,,0.0,1.0,1.0,0.0,,1995,02,03,1.0,POINT (-109.7850036621094 41.48799896240234),12.386781687901893,3.0722283733489757,11.66061113731121,32.70801862944974,20.701582959013734,4.18734029243187,6.161392368420445,47.16241627512142,93.39758714904269,124.21680012628788,8.87215490813334,113.9376481767696,3.1021858507962805,5.961697261771358,3.0722283733489757,3.0722283733489757,Caldera
983,Colombia,4.052000045776367,-76.58899688720703,74.0,6.300000190734863,L,42.0,42.0,42.0,0.0,,1995,02,08,42.0,POINT (-76.58899688720703 4.052000045776367),1.5207227142987507,12.428087008912351,14.144682065721984,11.053130433132239,17.07343060352103,41.76135834267871,13.182188336223431,89.83796451698863,67.12494473468924,98.16487991180641,52.50247972384457,87.29782554695684,53.132586585890344,49.33932002953187,1.5207227142987507,1.5207227142987507,Stratovolcano
984,Taiwan,24.232999801635742,121.70600128173828,43.599998474121094,6.199999809265137,L,0.0,2.0,2.0,0.0,,1995,02,23,2.0,POINT (121.7060012817383 24.23299980163574),3.7752601492263955,10.258018611545802,14.258422931255932,12.099364549010115,23.63361644293095,24.88165282751632,43.20423765212774,13.28172425301863,106.19283617428971,38.167402150122726,84.91238237424447,20.404321344387323,234.47550800364948,227.32023814310713,3.7752601492263955,3.7752601492263955,Stratovolcano
985,Cyprus,35.060001373291016,32.26900100708008,18.0,5.900000095367432,,2.0,2.0,,0.0,,1995,02,23,2.0,POINT (32.26900100708008 35.06000137329102),5.333178143859304,4.169782577562497,6.998484156218025,33.02130045904213,58.20444833337447,35.21842560027433,121.08726203076164,5.375755507241144,18.120882333698056,18.745866923314253,27.68607400979496,28.287618615817777,144.48755675442175,137.3008300978873,4.169782577562497,4.169782577562497,Caldera
